NumEmployee;Cal_Date;orderid;CDEL_LineNo;codeproduct;CDEL_Quantity;CDEL_UnitPrice;CA_brut;CA_net;CDEL_Discount;CDE_CustomerID;CDE_ShipperID;CDE_Freight;BudgetMontant
1;03/07AA006 00:00:00;10822;2;70;6;30,13;180,78;180,78;0;82;3;67,33;
1;03/07AA006 00:00:00;10822;1;62;3;29,43;88,29;88,29;0;82;3;67,33;
1;0BB12AA005 00:00:00;12379;2;57;49;21,165342953225;1037,101804708;1037,101804708;0;80;5;75,436869309444;
1;0BB12AA005 00:00:00;12379;1;70;34;32,805727800865;1115,3947452294;1312,2291212364;0,15000000596046;80;5;75,436869309444;
1;0BB12AA005 00:00:00;12379;3;55;26;46,306802138899;1203,9768556114;1203,9768556114;0;80;5;75,436869309444;
1;05/07AA006 00:00:00;11615;2;62;18;33,714627438595;606,8632938947;606,8632938947;0;82;3;33,415919288911;
1;05/07AA006 00:00:00;11615;1;16;18;10,706596871006;192,71874367811;192,71874367811;0;82;3;33,415919288911;
1;05/07AA006 00:00:00;12741;1;39;22;57,061470089205;1255,3523419625;1255,3523419625;0;80;2;36,693474537894;
1;05/07AA006 00:00:00;14708;2;49;32;19,268526820394;616,59285825262;616,59285825262;0;80;2;68,958901294365;
1;05/07AA006 00:00:00;14708;1;59;11;7,7015688301828;84,717257132011;84,717257132011;0;80;2;68,958901294365;
1;05/07AA006 00:00:00;14708;3;71;2;28,975813955277;57,951627910554;57,951627910554;0;80;2;68,958901294365;
1;05/07AA006 00:00:00;16032;2;36;16;9,4406288065385;151,05006090462;151,05006090462;0;42;3;79,404675639666;
1;05/07AA006 00:00:00;16032;1;31;15;8,9282621161144;133,92393174172;133,92393174172;0;42;3;79,404675639666;
1;09/07AA005 00:00:00;14123;2;62;23;28,292318054628;650,72331525645;650,72331525645;0;82;5;32,210323053807;
1;09/07AA005 00:00:00;14123;1;16;23;8,9846593888334;206,64716594317;206,64716594317;0;82;5;32,210323053807;
1;1BB07AA006 00:00:00;14392;1;68;44;14,039086261175;617,71979549169;617,71979549169;0;10;1;45,183222670331;
1;1BB07AA006 00:00:00;15959;2;13;13;21,843492228863;283,96539897522;283,96539897522;0;42;1;30,866256677719;
1;1BB07AA006 00:00:00;15959;1;22;18;3,1397770954997;56,515987718995;56,515987718995;0;42;1;30,866256677719;
1;1BB07AA006 00:00:00;15959;3;46;13;11,146658513823;144,9065606797;144,9065606797;0;42;1;30,866256677719;
1;13/07AA004 00:00:00;10511;2;4;15;23,86;357,9;421,05882648201;0,15000000596046;82;3;30,11;
